PMAID,LocID,Name,Address,ZIP Code,X Coord,Y Coord,Location 1
234,2416,SW Queen Anne Greenbelt,12th Ave W & W Howe St,98119,-122.373209,47.633353,"{'longitude': '-122.373209', 'needs_recoding': False, 'latitude': '47.633353'}"
3913,2591,T.T. Minor Playground,1698 E Union St,98122,-122.310543,47.613111,"{'longitude': '-122.310543', 'needs_recoding': False, 'latitude': '47.613111'}"
384,1076,Tashkent Park,511 Boylston Ave E,98102,-122.323444,47.62379,"{'longitude': '-122.323444', 'needs_recoding': False, 'latitude': '47.62379'}"
3889,1643,Terry Pettus Park,2001 Fairview Ave E,98102,-122.329689,47.636742,"{'longitude': '-122.329689', 'needs_recoding': False, 'latitude': '47.636742'}"
4014,1644,Thayer Place,10088 Waters Ave S,98178,-122.250038,47.510613,"{'longitude': '-122.250038', 'needs_recoding': False, 'latitude': '47.510613'}"
1106,1756,Thomas C. Wales Park,2401 6th Ave N,98109,-122.344468,47.640523,"{'longitude': '-122.344468', 'needs_recoding': False, 'latitude': '47.640523'}"
386,1044,Thomas St. Mini Park,306 Bellevue Ave E,98102,-122.326216,47.621036,"{'longitude': '-122.326216', 'needs_recoding': False, 'latitude': '47.621036'}"
343,1648,Thorndyke Park,1818 Thorndyke Ave W,98199,-122.390161,47.635099,"{'longitude': '-122.390161', 'needs_recoding': False, 'latitude': '47.635099'}"
416,0,Thornton Creek Park #1,13002 10th Ave NE,98125,-122.307629,47.707034,"{'longitude': '-122.307629', 'needs_recoding': False, 'latitude': '47.707034'}"
4405,1649,Thyme Patch Park,2853 NW 58th St,98107,-122.395214,47.670709,"{'longitude': '-122.395214', 'needs_recoding': False, 'latitude': '47.670709'}"
3909,1651,Tilikum Place,2701 5th Ave,98121,-122.347411,47.618382,"{'longitude': '-122.347411', 'needs_recoding': False, 'latitude': '47.618382'}"
4421,1654,Trolley Hill Park,1800 Taylor Ave N,98109,-122.347039,47.635143,"{'longitude': '-122.347039', 'needs_recoding': False, 'latitude': '47.635143'}"
4007,1658,Union Station Square,316 S Jackson St,98104,-122.330086,47.599362,"{'longitude': '-122.330086', 'needs_recoding': False, 'latitude': '47.599362'}"
424,1659,University Circle,5801 University Circle NE,98105,-122.275181,47.67203,"{'longitude': '-122.275181', 'needs_recoding': False, 'latitude': '47.67203'}"
3998,1662,University Lake Shore Place,4275 NE 125th St,98125,-122.28006,47.718937,"{'longitude': '-122.28006', 'needs_recoding': False, 'latitude': '47.718937'}"
435,1180,University Playground,4745 9th Ave NE,98105,-122.319312,47.664447,"{'longitude': '-122.319312', 'needs_recoding': False, 'latitude': '47.664447'}"
4451,1757,Ursula Judkins Viewpoint,2605 W Galer St,98199,-122.390232,47.632049,"{'longitude': '-122.390232', 'needs_recoding': False, 'latitude': '47.632049'}"
431,1874,Van Asselt Playground,7050 Beacon Ave S,98108,-122.294068,47.539446,"{'longitude': '-122.294068', 'needs_recoding': False, 'latitude': '47.539446'}"
338,1664,Victor Steinbrueck Park,2001 Western Ave,98121,-122.343869,47.610153,"{'longitude': '-122.343869', 'needs_recoding': False, 'latitude': '47.610153'}"
4443,1666,Victory Creek Park,1059 NE Northgate Way,98125,-122.315554,47.709155,"{'longitude': '-122.315554', 'needs_recoding': False, 'latitude': '47.709155'}"
438,1875,Victory Heights Playground,1737 NE 106th St,98125,-122.307834,47.705672,"{'longitude': '-122.307834', 'needs_recoding': False, 'latitude': '47.705672'}"
444,1876,View Ridge Playfield,4408 NE 70th St,98115,-122.279969,47.679747,"{'longitude': '-122.279969', 'needs_recoding': False, 'latitude': '47.679747'}"
3098,1667,Viretta Park,151 Lake Washington Blvd E,98112,-122.282003,47.61875,"{'longitude': '-122.282003', 'needs_recoding': False, 'latitude': '47.61875'}"
4002,1668,Virgil Flaim Park,2700 NE 123rd St,98125,-122.299374,47.717955,"{'longitude': '-122.299374', 'needs_recoding': False, 'latitude': '47.717955'}"
399,1669,Volunteer Park,1247 15th Ave E,98112,-122.315568,47.630378,"{'longitude': '-122.315568', 'needs_recoding': False, 'latitude': '47.630378'}"
1000399,0,Volunteer Park Conservatory,1400 E Galer St,98112,-122.315708,47.632063,"{'longitude': '-122.315708', 'needs_recoding': False, 'latitude': '47.632063'}"
449,2336,Wallingford Playfield,4219 Wallingford Ave N,98103,-122.337444,47.658544,"{'longitude': '-122.337444', 'needs_recoding': False, 'latitude': '47.658544'}"
1000004,0,Wallingford Steps,1800 N Northlake Way,98103,-122.336152,47.647345,"{'longitude': '-122.336152', 'needs_recoding': False, 'latitude': '47.647345'}"
3941,1748,Walt Hundley Playfield,6920 34th Ave SW,98126,-122.373415,47.54017,"{'longitude': '-122.373415', 'needs_recoding': False, 'latitude': '47.54017'}"
763,1684,Ward Springs Park,4th Ave N & Ward St,98109,-122.349245,47.627747,"{'longitude': '-122.349245', 'needs_recoding': False, 'latitude': '47.627747'}"
398,2394,Warren G. Magnuson Park,7400 Sand Point Way NE,98115,-122.255084,47.680304,"{'longitude': '-122.255084', 'needs_recoding': False, 'latitude': '47.680304'}"
393,0,Washington Park Arboretum,2300 Arboretum Dr E,98112,-122.294835,47.636477,"{'longitude': '-122.294835', 'needs_recoding': False, 'latitude': '47.636477'}"
1100393,393,Washington Park Playfield,1017 Lake Washington Blvd E,98112,-122.293925,47.627064,"{'longitude': '-122.293925', 'needs_recoding': False, 'latitude': '47.627064'}"
4165,2499,Washington Street Public Boat Landing,199 Alaskan Way S,98104,-122.336045,47.601007,"{'longitude': '-122.336045', 'needs_recoding': False, 'latitude': '47.601007'}"
3973,1689,Waterfront Park,1401 Alaskan Way,98101,-122.342196,47.606778,"{'longitude': '-122.342196', 'needs_recoding': False, 'latitude': '47.606778'}"
4083,1692,Waterway 19,2119 N Northlake Way,98103,-122.332567,47.646349,"{'longitude': '-122.332567', 'needs_recoding': False, 'latitude': '47.646349'}"
3966,1694,Weather Watch Park,4035 Beach Dr SW,98116,-122.409506,47.568247,"{'longitude': '-122.409506', 'needs_recoding': False, 'latitude': '47.568247'}"
3894,1045,Webster Park,3025 NW 68th St,98117,-122.397851,47.677832,"{'longitude': '-122.397851', 'needs_recoding': False, 'latitude': '47.677832'}"
3899,1695,Wedgwood Square,8126 31st Ave NE,98115,-122.294772,47.688151,"{'longitude': '-122.294772', 'needs_recoding': False, 'latitude': '47.688151'}"
4401,2603,West Duwamish Greenbelt,W Marginal Way SW & Highland Park Way SW,98106,-122.356966,47.563271,"{'longitude': '-122.356966', 'needs_recoding': False, 'latitude': '47.563271'}"
3694,2401,West Ewing Mini Park,244 W Ewing St,98119,-122.360602,47.65205,"{'longitude': '-122.360602', 'needs_recoding': False, 'latitude': '47.65205'}"
375,2402,West Montlake Park,2815 W Park Dr E,98112,-122.30982,47.646219,"{'longitude': '-122.30982', 'needs_recoding': False, 'latitude': '47.646219'}"
330,2561,West Queen Anne Playfield,150 W Blaine St,98119,-122.359504,47.635514,"{'longitude': '-122.359504', 'needs_recoding': False, 'latitude': '47.635514'}"
469,2566,West Seattle Golf Course,4600 35th Ave SW,98126,-122.369657,47.55986,"{'longitude': '-122.369657', 'needs_recoding': False, 'latitude': '47.55986'}"
472,2528,West Seattle Stadium,4432 35th Ave SW,98126,-122.374348,47.562826,"{'longitude': '-122.374348', 'needs_recoding': False, 'latitude': '47.562826'}"
468,1701,Westcrest Park,9000 8th Ave SW,98106,-122.341719,47.525783,"{'longitude': '-122.341719', 'needs_recoding': False, 'latitude': '47.525783'}"
494,1702,Westlake Greenbelt,Westlake Ave & Halladay St,98109,-122.34338,47.641586,"{'longitude': '-122.34338', 'needs_recoding': False, 'latitude': '47.641586'}"
332,1703,Westlake Park,401 Pine St,98101,-122.33724,47.611099,"{'longitude': '-122.33724', 'needs_recoding': False, 'latitude': '47.611099'}"
334,1705,Westlake Square,1900 Westlake Ave,98109,-122.337285,47.613627,"{'longitude': '-122.337285', 'needs_recoding': False, 'latitude': '47.613627'}"
385,2530,William Grose Park,1814 30th Ave,98122,-122.29294,47.618021,"{'longitude': '-122.29294', 'needs_recoding': False, 'latitude': '47.618021'}"
4016,1707,Williams Place,199 15th Ave E,98112,-122.313094,47.619809,"{'longitude': '-122.313094', 'needs_recoding': False, 'latitude': '47.619809'}"
278,1814,Wolf Creek Ravine Natural Area,McGraw St between 2nd Ave N & Nobb Hill Ave N,98109,-122.352314,47.639775,"{'longitude': '-122.352314', 'needs_recoding': False, 'latitude': '47.639775'}"
292,1815,Woodland Park,1000 N 50th St,98103,-122.344218,47.668906,"{'longitude': '-122.344218', 'needs_recoding': False, 'latitude': '47.668906'}"
1000292,292,Woodland Park Rose Garden,750 N 50th St,98103,-122.35054,47.666499,"{'longitude': '-122.35054', 'needs_recoding': False, 'latitude': '47.666499'}"
200,9909,Woodland Park Zoo,700 N 50th St,98103,-122.35043,47.666183,"{'longitude': '-122.35043', 'needs_recoding': False, 'latitude': '47.666183'}"
4563,0,Yesler Playfield,835 Yesler Way,98104,-122.320083,47.601262,"{'longitude': '-122.320083', 'needs_recoding': False, 'latitude': '47.601262'}"
580,1712,York Park,3650 Renton Ave S,98144,-122.295537,47.570461,"{'longitude': '-122.295537', 'needs_recoding': False, 'latitude': '47.570461'}"
3926,1816,York Playground,3327 34th Ave S,98126,-122.290713,47.572695,"{'longitude': '-122.290713', 'needs_recoding': False, 'latitude': '47.572695'}"
